;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;-4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;-inf
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;-inf
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;3.0
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;6.0
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;0.0;-0.5;1.0;-2.0;1.0;-0.5;0.0;-1.0;-inf
2;-4.0;1.0;1.0;0.5;1.0;-0.0;-0.0;-0.5;-0.0;3.0;3.0
3;0.0;7.0;0.0;-0.5;-1.0;0.0;0.0;-0.5;1.0;-3.0;-inf
4;;;0.0;5.0;4.0;5.0;0.0;2.0;0.0;-12.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;3.0
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;6.0
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;0.0;-0.5;1.0;-2.0;1.0;-0.5;0.0;-1.0;2.0
2;-4.0;1.0;1.0;0.5;1.0;-0.0;-0.0;-0.5;-0.0;3.0;-6.0
3;0.0;7.0;0.0;-0.5;-1.0;0.0;0.0;-0.5;1.0;-3.0;6.0
4;;;0.0;5.0;4.0;5.0;0.0;2.0;0.0;-12.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;3.0
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;6.0
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;0.0;-0.5;1.0;-2.0;1.0;-0.5;0.0;-1.0;2.0
2;-4.0;1.0;1.0;0.5;1.0;-0.0;-0.0;-0.5;-0.0;3.0;-6.0
3;0.0;7.0;0.0;-0.5;-1.0;0.0;0.0;-0.5;1.0;-3.0;6.0
4;;;0.0;5.0;4.0;5.0;0.0;2.0;0.0;-12.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;3.0
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;6.0
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;0.0;-0.5;1.0;-2.0;1.0;-0.5;0.0;-1.0;2.0
2;-4.0;1.0;1.0;0.5;1.0;-0.0;-0.0;-0.5;-0.0;3.0;-6.0
3;0.0;7.0;0.0;-0.5;-1.0;0.0;0.0;-0.5;1.0;-3.0;6.0
4;;;0.0;5.0;4.0;5.0;0.0;2.0;0.0;-12.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;-1.0;-1.0;0.0;-2.0;1.0;0.0;0.0;-4.0;4.0
2;0.0;6.0;-2.0;-1.0;-2.0;0.0;0.0;1.0;0.0;-6.0;3.0
3;0.0;7.0;-1.0;-1.0;-2.0;0.0;0.0;0.0;1.0;-6.0;6.0
4;;;4.0;7.0;8.0;5.0;0.0;0.0;0.0;0.0;
;C_i;Xbase_i;x1;x2;x3;x4;x5;x6;x7;b_i;fi_i
0;;;-4;-7.0;-8.0;-5.0;0.0;0.0;0.0;;
1;0.0;5.0;0.0;-0.5;1.0;-2.0;1.0;-0.5;0.0;-1.0;2.0
2;-4.0;1.0;1.0;0.5;1.0;-0.0;-0.0;-0.5;-0.0;3.0;-6.0
3;0.0;7.0;0.0;-0.5;-1.0;0.0;0.0;-0.5;1.0;-3.0;6.0
